Turn 1, Prize = Life 30 min
Turn 2, Prize = Hammer 3X
Turn 3, Prize = Hammer 3X
Turn 4, Prize = Brush 3X
Turn 5, Prize = Brush 1X
Turn 6, Prize = Hammer 1X
Turn 7, Prize = Hammer 3X
Turn 8, Prize = Hammer 3X
Turn 9, Prize = Brush 1X
Turn 10, Prize = Brush 1X
Turn 11, Prize = Gem 35
Turn 12, Prize = Brush 1X
Turn 13, Prize = Hammer 1X
Turn 14, Prize = Gem 35
Turn 15, Prize = Life 30 min
Turn 16, Prize = Life 30 min
Turn 17, Prize = Brush 1X
Turn 18, Prize = Life 30 min
Turn 19, Prize = Gem 75
Turn 20, Prize = Life 30 min
Turn 21, Prize = Life 30 min
Turn 22, Prize = Brush 1X
Turn 23, Prize = Hammer 1X
Turn 24, Prize = Hammer 1X
Turn 25, Prize = Hammer 3X
Turn 26, Prize = Life 30 min
Turn 27, Prize = Gem 75
Turn 28, Prize = Brush 1X
Turn 29, Prize = Gem 75
Turn 30, Prize = Hammer 1X
Turn 31, Prize = Brush 3X
Turn 32, Prize = Coin 750
Turn 33, Prize = Brush 1X
Turn 34, Prize = Hammer 3X
Turn 35, Prize = Hammer 1X
Turn 36, Prize = Hammer 3X
Turn 37, Prize = Hammer 1X
Turn 38, Prize = Hammer 1X
Turn 39, Prize = Hammer 3X
Turn 40, Prize = Hammer 1X
Turn 41, Prize = Hammer 3X
Turn 42, Prize = Hammer 3X
Turn 43, Prize = Brush 1X
Turn 44, Prize = Brush 1X
Turn 45, Prize = Brush 3X
Turn 46, Prize = Brush 1X
Turn 47, Prize = Brush 1X
Turn 48, Prize = Gem 35
Turn 49, Prize = Hammer 1X
Turn 50, Prize = Hammer 3X
Turn 51, Prize = Life 30 min
Turn 52, Prize = Brush 1X
Turn 53, Prize = Hammer 3X
Turn 54, Prize = Brush 1X
Turn 55, Prize = Coin 750
Turn 56, Prize = Hammer 3X
Turn 57, Prize = Hammer 1X
Turn 58, Prize = Coin 750
Turn 59, Prize = Hammer 1X
Turn 60, Prize = Gem 75
Turn 61, Prize = Hammer 1X
Turn 62, Prize = Gem 35
Turn 63, Prize = Gem 35
Turn 64, Prize = Gem 75
Turn 65, Prize = Life 30 min
Turn 66, Prize = Brush 3X
Turn 67, Prize = Brush 3X
Turn 68, Prize = Brush 1X
Turn 69, Prize = Life 30 min
Turn 70, Prize = Life 30 min
Turn 71, Prize = Hammer 3X
Turn 72, Prize = Hammer 3X
Turn 73, Prize = Brush 1X
Turn 74, Prize = Coin 750
Turn 75, Prize = Gem 35
Turn 76, Prize = Gem 35
Turn 77, Prize = Life 30 min
Turn 78, Prize = Hammer 1X
Turn 79, Prize = Brush 1X
Turn 80, Prize = Life 30 min
Turn 81, Prize = Hammer 3X
Turn 82, Prize = Hammer 1X
